scheme,outer_fold,parameter_index,parameters,inner_cv_rmse
S1,1,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",0.7735420994711144
S1,1,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",0.785286209643579
S1,1,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25}",0.7900462687831804
S1,1,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25}",0.7944206049882054
S1,1,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75}",0.7980636704652833
S1,1,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25}",0.798371689089629
S1,2,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",0.7932228443621163
S1,2,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",0.8101499187889335
S1,2,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25}",0.8143158426996052
S1,2,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75}",0.8168908411733486
S1,2,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25}",0.82041183682763
S1,2,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25}",0.8222226577704547
S1,3,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",0.7409110622836922
S1,3,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",0.7497792566955864
S1,3,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25}",0.753904471757494
S1,3,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75}",0.7553444608515916
S1,3,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25}",0.7559757511575622
S1,3,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25}",0.7564709806235994
S1,4,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",0.7815222455173414
S1,4,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",0.796939090840247
S1,4,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75}",0.8013091546784339
S1,4,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25}",0.8025920708764019
S1,4,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25}",0.805625060338127
S1,4,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25}",0.8082570131674235
S1,5,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",0.788836395963003
S1,5,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25}",0.806595929172155
S1,5,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",0.8086049803636902
S1,5,2,"{""alpha"": 0.001, ""l1_ratio"": 0.25}",0.8166561226848131
S1,5,1,"{""alpha"": 0.0003, ""l1_ratio"": 0.75}",0.8185890994988005
S1,5,0,"{""alpha"": 0.0003, ""l1_ratio"": 0.25}",0.820390347659866
S1,6,5,"{""alpha"": 0.003, ""l1_ratio"": 0.75}",0.7943472009887113
S1,6,4,"{""alpha"": 0.003, ""l1_ratio"": 0.25}",0.8164146130750076
S1,6,3,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",0.8211372106602551
