scheme,quality_domain,q_score,source,sample_count
S1,arxiv,0.41579367873364703,extended,17523
S1,book,0.353185510272432,A1_sample,171
S1,c4,0.5531216999374116,A1_sample,10000
S1,commoncrawl,0.5041829718644951,A1_sample,9640
S1,github,0.38416905554545333,extended,203752
S1,stackexchange,0.49721950970330847,A1_sample,10000
S1,wikipedia,0.4526904175344701,A1_sample,10000
S2,arxiv,0.2603285791678451,extended,17523
S2,book,0.2052017446831341,A1_sample,171
S2,c4,0.7731744993168066,A1_sample,10000
S2,commoncrawl,0.6188240021609486,A1_sample,9640
S2,github,0.13563149479343542,extended,203752
S2,stackexchange,0.5176268865898888,A1_sample,10000
S2,wikipedia,0.49709738044114776,A1_sample,10000
S3,arxiv,0.44332519292239436,extended,17523
S3,book,0.36242095637782834,A1_sample,171
S3,c4,0.585167062409831,A1_sample,10000
S3,commoncrawl,0.520362268466378,A1_sample,9640
S3,github,0.39349460204554837,extended,203752
S3,stackexchange,0.5247353197294535,A1_sample,10000
S3,wikipedia,0.4774148868236911,A1_sample,10000
S4,arxiv,0.029650772472940363,extended,17523
S4,book,0.19798888307056012,A1_sample,171
S4,c4,0.6362051435672554,A1_sample,10000
S4,commoncrawl,0.34792306187700434,A1_sample,9640
S4,github,0.48746805727787007,extended,203752
S4,stackexchange,0.489847134742754,A1_sample,10000
S4,wikipedia,0.6102026156548898,A1_sample,10000
